Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,5B4KP42Y913337285,COM,BEDFORD        ,NY,10506,DUTCHESS    ,2001,WORKH,VAN ,DIESEL  ,,"14,000",,4/24/2018,4/30/2020,WH   ,N,N,N
VEH ,4V5K99EH8DN137049,IRP,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2013,VOLVO,DUMP,DIESEL  ,"70,000",,,3/1/2019,2/29/2020,WH   ,N,N,N
VEH ,4V5KC9GH26N444346,IRP,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2006,VOLVO,UTIL,DIESEL  ,"75,000",,,3/1/2019,2/29/2020,WH   ,N,N,N
VEH ,4V5KC9GH17N488212,COM,KATONAH        ,NY,10536,WESTCHESTER ,2007,VOLVO,DUMP,DIESEL  ,,"73,750",,10/11/2019,9/30/2020,BR   ,N,N,N
VEH ,4V5KC9EH59N270294,IRP,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2009,VOLVO,UTIL,DIESEL  ,"73,750",,,3/1/2019,2/29/2020,WH   ,N,N,N
VEH ,4UZA5FAC1WC896782,COM,KATONAH        ,NY,10536,WESTCHESTER ,1998,FREIG,DELV,DIESEL  ,,"10,000",,8/28/2019,5/31/2021,WH   ,N,N,N
VEH ,4UZACJBV87CX67612,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2007,TROPI,H/WH,DIESEL  ,"21,970",,,6/25/2019,8/10/2021,WH   ,N,N,N
VEH ,4UZABRFC9LCLW9510,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2020,FREIG,BUS ,DIESEL  ,44,,,8/12/2019,,YW   ,N,N,N
VEH ,4UZABRFC9KCKU9477,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2019,FREIG,BUS ,DIESEL  ,44,,,10/29/2018,,YW   ,N,N,N
VEH ,4UZABRFC7KCKU9476,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2019,FREIG,BUS ,DIESEL  ,44,,,10/29/2018,,YW   ,N,N,N
VEH ,4UZABRFC2LCLW9509,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2020,FREIG,BUS ,DIESEL  ,44,,,8/12/2019,,YW   ,N,N,N
VEH ,4UZABRFC0LCLW9511,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2020,FREIG,BUS ,DIESEL  ,44,,,8/12/2019,,YW   ,N,N,N
VEH ,4UZABRFC0LCLW9508,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2020,FREIG,BUS ,DIESEL  ,44,,,8/12/2019,,YW   ,N,N,N
VEH ,4UZABRDT8HCHL8533,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,THOMA,BUS ,DIESEL  ,44,,,12/18/2015,,YW   ,N,N,N
VEH ,4UZABRDT7HCHT3629,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,FREIG,BUS ,DIESEL  ,44,,,8/26/2016,,YW   ,N,N,N
VEH ,4UZABRDT6HCHL8532,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,THOMA,BUS ,DIESEL  ,44,,,12/22/2015,,YW   ,N,N,N
VEH ,4UZABRDT4HCHL8531,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,THOMA,BUS ,DIESEL  ,44,,,12/14/2015,,YW   ,N,N,N
VEH ,4UZABRDT3HCHT3630,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,FREIG,BUS ,DIESEL  ,44,,,8/26/2016,,YW   ,N,N,N
VEH ,4UZABRDT1HCHL8535,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,THOMA,BUS ,DIESEL  ,44,,,12/14/2015,,YW   ,N,N,N
VEH ,4UZABRDTXHCHL8534,PSD,KATONAH        ,NY,10536,WESTCHESTER ,2017,THOMA,BUS ,DIESEL  ,44,,,12/22/2015,,YW   ,N,N,N
VEH ,4UZABPDTXACAN4111,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2010,FREIG,BUS ,DIESEL  ,,,23,2/6/2019,2/28/2020,YW   ,N,N,N
VEH ,4JGDF2EE7EA335091,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2014,ME/BE,SUBN,DIESEL  ,"5,294",,,1/24/2019,1/23/2021,BL   ,N,N,N
VEH ,4JGDF2EE6GA683709,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2016,ME/BE,SUBN,DIESEL  ,"5,294",,,8/5/2019,8/30/2020,WH   ,N,N,N
VEH ,4JGDF2EE6GA652136,PAS,KATONAH        ,NY,10536,WESTCHESTER ,2016,ME/BE,SUBN,DIESEL  ,"5,294",,,11/29/2017,12/22/2019,GY   ,N,N,N
VEH ,4JGDF2EE3FA608903,MED,BEDFORD        ,NY,10506,WESTCHESTER ,2015,ME/BE,SUBN,DIESEL  ,"5,294",,,8/5/2019,7/2/2021,GY   ,N,N,N
VEH ,4JGDF2EE3EA286567,ORG,BEDFORD        ,NY,10506,WESTCHESTER ,2014,ME/BE,SUBN,DIESEL  ,"5,467",,,12/22/2017,2/17/2020,GY   ,N,N,N
VEH ,4JGDA0EB8FA503976,PAS,KATONAH        ,NY,10536,WESTCHESTER ,2015,ME/BE,SUBN,DIESEL  ,"4,810",,,10/9/2018,11/19/2020,BL   ,N,N,N
VEH ,4JGDA0EB3FA523990,PAS,KATONAH        ,NY,10536,WESTCHESTER ,2015,ME/BE,SUBN,DIESEL  ,"4,810",,,2/2/2018,3/28/2020,BK   ,N,N,N
VEH ,4JGBF22E57A289940,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2007,ME/BE,SUBN,DIESEL  ,"5,139",,,3/8/2019,4/17/2021,BL   ,N,N,N
VEH ,4JGBF2FE9BA715907,PAS,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2011,ME/BE,SUBN,DIESEL  ,"5,294",,,4/23/2019,5/28/2021,GY   ,N,N,N
VEH ,4JGBF2FE1CA781045,PAS,KATONAH        ,NY,10536,WESTCHESTER ,2012,ME/BE,SUBN,DIESEL  ,"5,338",,,1/24/2019,1/23/2021,WH   ,N,N,N
VEH ,4GTJ7F1396F700471,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2006,ISUZU,TANK,DIESEL  ,,"25,950",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,4GTJ6F1376F700519,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2006,ISUZU,UTIL,DIESEL  ,,"25,950",,3/18/2019,3/31/2020,WH   ,N,N,N
VEH ,4DRBUC8NXJB576887,OMR,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,IC   ,BUS ,DIESEL  ,,,44,1/23/2019,2/28/2020,YW   ,N,N,N
VEH ,4DRBUAAN9DB302941,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2013,IC/BU,BUS ,DIESEL  ,,,48,2/6/2019,2/28/2020,YW   ,N,N,N
VEH ,4DRBUAAN9DB297045,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2013,IC   ,BUS ,DIESEL  ,,,44,2/6/2019,2/28/2020,YW   ,N,N,N
VEH ,4DRBUAAN9DB297031,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2013,IC   ,BUS ,DIESEL  ,,,44,8/19/2019,2/28/2020,YW   ,N,N,N
VEH ,4DRBUAAN8DB297103,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2013,IC   ,BUS ,DIESEL  ,,,44,2/6/2019,2/28/2020,YW   ,N,N,N
VEH ,4DRBUAAN8DB297036,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2013,IC   ,BUS ,DIESEL  ,,,44,2/6/2019,2/28/2020,YW   ,N,N,N
VEH ,4DRBUAAN7DB297044,OMR,BEDFORD        ,NY,10506,WESTCHESTER ,2013,IC   ,BUS ,DIESEL  ,,,44,2/6/2019,2/28/2020,YW   ,N,N,N
